"id";"id_bidang";"id_kategori";"kode";"nama";"skor";"created_at";"updated_at";"created_by";"updated_by"
2;1;1;"1A1";"Juara-1 Perorangan";50.0;"2024-12-07 05:29:27";"2024-12-07 05:29:27";4;0
3;1;1;"1A2";"Juara-2 Perorangan";45.0;"2024-12-07 05:38:32";"2024-12-07 05:38:32";4;0
4;1;1;"1A3";"Juara-3 Perorangan";40.0;"2024-12-07 05:39:04";"2024-12-07 05:39:04";4;0
5;1;1;"1A4";"Juara Kategori Perorangan";32.0;"2024-12-07 05:39:40";"2024-12-07 05:39:40";4;0
6;1;1;"1A5";"Juara-1 Beregu";40.0;"2024-12-07 05:40:26";"2024-12-07 05:40:26";4;0
7;1;1;"1A6";"Juara-2 Beregu";35.0;"2024-12-07 05:40:52";"2024-12-07 05:40:52";4;0
8;1;1;"1A7";"Juara-3 Beregu";30.0;"2024-12-07 05:41:29";"2024-12-07 05:41:29";4;0
9;1;1;"1A8";"Juara Kategori Beregu";24.0;"2024-12-07 05:42:13";"2024-12-07 05:42:13";4;0
10;1;2;"1B1";"Juara-1 Perorangan";40.0;"2024-12-07 05:43:01";"2024-12-07 05:43:01";4;0
11;1;2;"1B2";"Juara-2 Perorangan";35.0;"2024-12-07 05:43:26";"2024-12-07 05:43:26";4;0
12;1;2;"1B3";"Juara-3 Perorangan";30.0;"2024-12-07 05:43:58";"2024-12-07 05:43:58";4;0
13;1;2;"1B4";"Juara Kategori Perorangan";24.0;"2024-12-07 05:44:49";"2024-12-07 05:44:49";4;0
14;1;2;"1B5";"Juara-1 Beregu";30.0;"2024-12-07 05:45:48";"2024-12-07 05:45:48";4;0
15;1;2;"1B6";"Juara-2 Beregu";25.0;"2024-12-07 05:46:15";"2024-12-07 05:46:15";4;0
16;1;2;"1B7";"Juara-3 Beregu";20.0;"2024-12-07 06:03:36";"2024-12-07 06:03:36";4;0
17;1;2;"1B8";"Juara Kategori Beregu";16.0;"2024-12-07 06:04:05";"2024-12-07 06:04:05";4;0
18;1;3;"1C1";"Juara-1 Perorangan";30.0;"2024-12-07 06:04:47";"2024-12-07 06:04:47";4;0
